MJD-2450000	SCFL	SCER
5281.2	17489.96	6.9928
5281.2	17485.55	6.9929
5281.2	17489.68	6.9930
5281.5	17486.14	6.9931
5281.5	17499.65	6.9932
5281.5	17505.99	6.9934
5281.5	17508.40	6.9935
5281.5	17498.53	6.9937
5281.5	17500.78	6.9938
5281.5	17504.39	6.9942
5281.5	17515.01	6.9943
5281.5	17514.60	6.9945
5281.5	17512.13	6.9946
5281.5	17507.81	6.9948
5281.7	17522.52	6.9949
5281.7	17500.09	6.9951
5281.7	17505.05	6.9954
5281.7	17509.02	6.9955
5281.7	17527.80	6.9957
5281.7	17521.51	6.9958
5281.7	17518.95	6.9960
5281.7	17511.90	6.9961
5281.7	17541.21	6.9963
5281.7	17530.32	6.9965
5281.7	17564.02	6.9966
5282.0	17572.47	6.9968
5282.0	17539.97	6.9966
5282.0	17537.78	6.9964
5282.0	17516.56	6.9962
5282.0	17527.34	6.9960
5282.0	17511.29	6.9959
5282.0	17523.70	6.9957
5282.0	17517.47	6.9955
5282.0	17520.95	6.9953
5282.0	17548.47	6.9952
5282.0	17526.17	6.9950
5282.0	17522.99	6.9948
5282.3	17519.10	6.9946
5282.3	17529.56	6.9944
5282.3	17536.99	6.9943
5282.3	17510.54	6.9941
5282.3	17520.06	6.9939
5282.3	17514.59	6.9937
5282.3	17515.86	6.9936
5282.3	17537.13	6.9934
5282.3	17513.40	6.9932
5282.3	17504.18	6.9928
5282.3	17520.18	6.9927
5282.5	17516.34	6.9925
5282.5	17518.83	6.9924
5282.5	17522.22	6.9923
5282.5	17513.71	6.9922
5282.5	17494.24	6.9921
5282.5	17514.39	6.9920
5282.5	17521.81	6.9919
5282.5	17542.40	6.9918
5282.5	17526.14	6.9917
5282.5	17522.01	6.9916
5282.5	17524.17	6.9915
5282.5	17518.49	6.9914
5282.7	17513.18	6.9913
5282.7	17517.27	6.9912
5282.7	17517.46	6.9911
5282.7	17492.46	6.9911
5282.7	17499.69	6.9910
5282.7	17509.83	6.9909
5282.7	17528.90	6.9908
5282.7	17502.75	6.9907
5282.7	17515.23	6.9906
5282.7	17521.16	6.9905
5282.7	17505.08	6.9904
5282.7	17508.11	6.9903
5283.0	17526.03	6.9903
5283.0	17509.80	6.9903
5283.0	17508.79	6.9903
5283.0	17527.24	6.9903
5283.0	17520.65	6.9903
5283.0	17529.22	6.9903
5283.0	17522.08	6.9902
5283.0	17513.63	6.9902
5283.0	17532.32	6.9902
5283.0	17527.04	6.9902
5283.3	17537.72	6.9902
5283.3	17518.23	6.9902
5283.3	17540.52	6.9902
5283.3	17534.57	6.9902
5283.3	17512.92	6.9901
5283.3	17540.17	6.9901
5283.3	17502.88	6.9901
5283.3	17527.98	6.9901
5283.3	17522.13	6.9901
5283.3	17517.63	6.9901
5283.3	17519.74	6.9901
5283.5	17518.26	6.9900
5283.5	17519.41	6.9900
5283.5	17505.95	6.9899
5283.5	17512.71	6.9898
5283.5	17510.22	6.9898
5283.5	17503.98	6.9897
5283.5	17500.67	6.9897
5283.5	17499.75	6.9896
5283.5	17503.36	6.9895
5283.5	17491.34	6.9895
5283.5	17505.09	6.9894
5283.5	17499.05	6.9894
5283.5	17524.35	6.9893
5283.7	17510.31	6.9893
5283.7	17491.69	6.9892
5283.7	17500.93	6.9891
5283.7	17517.51	6.9891
5283.7	17488.80	6.9890
5283.7	17505.96	6.9890
5283.7	17500.37	6.9889
5283.7	17518.17	6.9888
5283.7	17523.97	6.9888
5283.7	17521.35	6.9887
5283.7	17519.43	6.9887
5283.7	17532.14	6.9887
5284.0	17504.49	6.9887
5284.0	17520.33	6.9887
5284.0	17526.39	6.9887
5284.0	17521.86	6.9887
5284.0	17528.80	6.9887
5284.0	17531.24	6.9887
5284.0	17531.83	6.9887
5284.0	17527.79	6.9888
5284.0	17530.87	6.9888
5284.0	17570.29	6.9888
5284.0	17542.44	6.9888
5284.2	17542.02	6.9888
5284.2	17535.14	6.9888
5284.2	17550.00	6.9888
5284.2	17531.91	6.9888
5284.2	17544.22	6.9888
5284.2	17543.22	6.9888
5284.2	17533.61	6.9888
5284.2	17537.17	6.9888
5284.2	17535.67	6.9888
5284.2	17551.29	6.9889
5284.2	17548.16	6.9889
5284.2	17547.07	6.9890
5284.5	17534.79	6.9890
5284.5	17553.05	6.9891
5284.5	17541.68	6.9892
5284.5	17536.71	6.9893
5284.5	17538.72	6.9894
5284.5	17537.50	6.9895
5284.5	17532.31	6.9896
5284.5	17542.81	6.9897
5284.5	17542.76	6.9898
5284.5	17537.05	6.9899
5284.5	17550.53	6.9900
5284.5	17544.48	6.9900
5284.5	17555.33	6.9901
5284.8	17556.79	6.9902
5284.8	17543.42	6.9903
5284.8	17551.83	6.9904
5284.8	17570.16	6.9905
5284.8	17551.93	6.9907
5284.8	17547.72	6.9908
5284.8	17574.04	6.9909
5284.8	17561.73	6.9909
5284.8	17561.72	6.9910
5284.8	17574.79	6.9909
5284.8	17571.99	6.9908
5285.0	17566.05	6.9907
5285.0	17564.41	6.9906
5285.0	17566.45	6.9905
5285.0	17566.54	6.9904
5285.0	17562.26	6.9902
5285.0	17592.51	6.9901
5285.0	17564.24	6.9900
5285.0	17571.08	6.9899
5285.0	17568.55	6.9898
5285.0	17559.51	6.9897
5285.0	17570.21	6.9896
5285.0	17580.04	6.9895
5285.2	17569.04	6.9893
5285.2	17574.05	6.9892
5285.2	17576.58	6.9891
5285.2	17556.71	6.9890
5285.2	17556.93	6.9889
5285.2	17559.97	6.9888
5285.2	17565.20	6.9887
5285.2	17561.06	6.9885
5285.2	17548.51	6.9884
5285.2	17549.59	6.9883
5285.2	17553.09	6.9884
5285.2	17554.26	6.9884
5285.5	17576.03	6.9885
5285.5	17553.96	6.9886
5285.5	17559.17	6.9886
5285.5	17563.24	6.9887
5285.5	17560.75	6.9888
5285.5	17566.59	6.9888
5285.5	17576.32	6.9889
5285.5	17547.21	6.9890
5285.5	17557.84	6.9890
5285.5	17564.06	6.9891
5285.5	17556.63	6.9892
5285.5	17555.40	6.9893
5285.8	17568.73	6.9894
5285.8	17565.96	6.9894
5285.8	17576.96	6.9895
5285.8	17587.30	6.9896
5285.8	17584.32	6.9896
5285.8	17578.20	6.9897
5285.8	17600.38	6.9898
5285.8	17592.81	6.9898
5285.8	17602.39	6.9899
5285.8	17574.18	6.9899
5285.8	17610.13	6.9899
5285.8	17603.31	6.9899
5286.0	17612.04	6.9900
5286.0	17594.80	6.9900
5286.0	17621.29	6.9900
5286.0	17600.37	6.9900
5286.0	17616.03	6.9900
5286.0	17597.82	6.9900
5286.0	17607.52	6.9901
5286.0	17605.26	6.9901
5286.0	17608.11	6.9901
5286.0	17620.92	6.9901
5286.0	17619.46	6.9901
5286.2	17612.09	6.9901
5286.2	17605.36	6.9902
5286.2	17622.16	6.9902
5286.2	17620.71	6.9902
5286.2	17624.06	6.9902
5286.2	17614.64	6.9902
5286.2	17634.43	6.9902
5286.2	17635.18	6.9903
5286.2	17645.52	6.9902
5286.2	17628.46	6.9901
5286.2	17629.18	6.9900
5286.5	17626.56	6.9899
5286.5	17626.56	6.9898
